epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,354.225,1.31627,1.07161,1.28139,0.70258,0.59345,0.64775,0.32119,1.68065,1.48727,1.62084,0.0009365,0.0009365,0.0009365
78,358.73,1.33168,1.09798,1.31207,0.61759,0.61913,0.60708,0.28371,1.82079,1.55049,1.75287,0.000932375,0.000932375,0.000932375
79,363.223,1.30854,1.09716,1.30356,0.56976,0.59024,0.58265,0.28578,1.68975,1.54131,1.64939,0.00092825,0.00092825,0.00092825
80,367.821,1.27717,1.09172,1.28637,0.69861,0.56501,0.62409,0.29132,1.69739,1.59161,1.61938,0.000924125,0.000924125,0.000924125
81,372.379,1.2676,1.04664,1.2874,0.70653,0.53923,0.62473,0.29944,1.67195,1.52226,1.62278,0.00092,0.00092,0.00092
82,376.825,1.24772,1.06345,1.2383,0.69432,0.56769,0.62885,0.29225,1.69136,1.52502,1.66452,0.000915875,0.000915875,0.000915875
83,381.352,1.27082,1.03885,1.28486,0.64668,0.59969,0.61909,0.29641,1.67989,1.36818,1.6268,0.00091175,0.00091175,0.00091175
84,385.76,1.24398,1.01748,1.22901,0.69093,0.5307,0.60252,0.29507,1.70061,1.50344,1.69189,0.000907625,0.000907625,0.000907625
85,390.449,1.28677,1.03486,1.30688,0.60125,0.60997,0.60197,0.29086,1.72064,1.57569,1.69643,0.0009035,0.0009035,0.0009035
86,394.814,1.25433,1.00538,1.26284,0.6202,0.58078,0.63106,0.32419,1.61849,1.40754,1.5843,0.000899375,0.000899375,0.000899375
87,399.459,1.24914,1.04281,1.27706,0.65059,0.60761,0.63431,0.32245,1.59689,1.47984,1.58648,0.00089525,0.00089525,0.00089525
88,403.94,1.22338,1.02938,1.25009,0.64134,0.54263,0.57462,0.30114,1.6826,1.63335,1.64904,0.000891125,0.000891125,0.000891125
89,408.552,1.24568,1.02372,1.23405,0.65771,0.62067,0.61478,0.30509,1.73652,1.51601,1.69633,0.000887,0.000887,0.000887
90,413.028,1.2076,0.95095,1.24889,0.66361,0.64406,0.67053,0.32901,1.70799,1.49543,1.67513,0.000882875,0.000882875,0.000882875
91,417.505,1.24988,1.00268,1.26234,0.64203,0.60082,0.62485,0.30871,1.64921,1.5099,1.64082,0.00087875,0.00087875,0.00087875
92,422.004,1.21105,0.96715,1.2634,0.70862,0.56809,0.63836,0.31729,1.6599,1.50983,1.61965,0.000874625,0.000874625,0.000874625
93,426.579,1.20795,0.96334,1.22573,0.70767,0.60689,0.64472,0.30486,1.70376,1.4451,1.63822,0.0008705,0.0008705,0.0008705
94,431.06,1.26785,0.98634,1.25876,0.6419,0.63424,0.65058,0.29721,1.74831,1.57948,1.67883,0.000866375,0.000866375,0.000866375
95,435.509,1.19474,0.9376,1.23066,0.72191,0.60929,0.65872,0.32796,1.61559,1.4349,1.59651,0.00086225,0.00086225,0.00086225
96,440.05,1.21719,0.97453,1.22058,0.71872,0.61989,0.68076,0.33015,1.6708,1.37797,1.63835,0.000858125,0.000858125,0.000858125
97,444.787,1.19448,0.94035,1.21789,0.71957,0.6259,0.67476,0.33044,1.70899,1.38098,1.67434,0.000854,0.000854,0.000854
98,449.232,1.2271,0.94152,1.23006,0.71627,0.62997,0.65938,0.33678,1.6898,1.39838,1.6538,0.000849875,0.000849875,0.000849875
99,453.783,1.19998,0.97734,1.21734,0.6887,0.55983,0.60756,0.29729,1.78131,1.61428,1.70023,0.00084575,0.00084575,0.00084575
100,458.233,1.17109,0.95212,1.20397,0.63191,0.58409,0.61161,0.30309,1.61978,1.50106,1.5828,0.000841625,0.000841625,0.000841625
101,462.704,1.17643,0.91881,1.21999,0.6545,0.60437,0.61748,0.31772,1.64181,1.53648,1.63118,0.0008375,0.0008375,0.0008375
102,467.121,1.17694,0.90687,1.22185,0.64429,0.6208,0.64772,0.32323,1.63969,1.50416,1.59253,0.000833375,0.000833375,0.000833375
103,471.817,1.20992,0.92053,1.19559,0.56013,0.60032,0.60346,0.30841,1.71918,1.53254,1.65209,0.00082925,0.00082925,0.00082925
104,476.446,1.18688,0.942,1.22589,0.71276,0.65537,0.68121,0.3448,1.66988,1.39256,1.63966,0.000825125,0.000825125,0.000825125
105,480.955,1.15921,0.94182,1.2226,0.64959,0.60214,0.656,0.32059,1.71581,1.49912,1.6413,0.000821,0.000821,0.000821
106,485.452,1.14924,0.87558,1.2142,0.69177,0.58336,0.65527,0.32331,1.63397,1.49705,1.58446,0.000816875,0.000816875,0.000816875
107,489.967,1.18711,0.91021,1.21973,0.68791,0.59481,0.62434,0.33608,1.63287,1.45066,1.58565,0.00081275,0.00081275,0.00081275
108,494.46,1.13227,0.84613,1.19354,0.65501,0.59274,0.64008,0.3325,1.67368,1.37823,1.64488,0.000808625,0.000808625,0.000808625
109,498.892,1.16263,0.88153,1.21194,0.61065,0.64773,0.62252,0.31638,1.60987,1.47366,1.62274,0.0008045,0.0008045,0.0008045
110,503.335,1.17586,0.90074,1.18324,0.70406,0.51567,0.59369,0.2868,1.71611,1.61679,1.71003,0.000800375,0.000800375,0.000800375
111,507.773,1.17038,0.9266,1.21123,0.72256,0.60325,0.66343,0.33141,1.58763,1.37136,1.56845,0.00079625,0.00079625,0.00079625
112,512.242,1.17669,0.90996,1.20217,0.68349,0.62535,0.65494,0.33204,1.66171,1.43807,1.63701,0.000792125,0.000792125,0.000792125
113,516.786,1.15311,0.88917,1.1823,0.65128,0.61927,0.6367,0.33524,1.64972,1.45391,1.62063,0.000788,0.000788,0.000788
114,521.323,1.18435,0.9078,1.22593,0.75238,0.59051,0.6511,0.34852,1.58793,1.41542,1.56424,0.000783875,0.000783875,0.000783875
115,525.813,1.16625,0.92224,1.21152,0.67296,0.66309,0.65269,0.34099,1.61156,1.42778,1.60624,0.00077975,0.00077975,0.00077975
116,530.39,1.115,0.85066,1.18319,0.78173,0.57944,0.66713,0.34848,1.59988,1.38728,1.53779,0.000775625,0.000775625,0.000775625
117,534.864,1.07703,0.78812,1.15558,0.7341,0.55914,0.63807,0.33332,1.62732,1.45524,1.59722,0.0007715,0.0007715,0.0007715
118,539.461,1.11436,0.86706,1.18169,0.69663,0.62971,0.66122,0.32498,1.57111,1.41951,1.5177,0.000767375,0.000767375,0.000767375
119,543.99,1.08886,0.82988,1.17064,0.73132,0.62336,0.67748,0.32757,1.68775,1.44299,1.59857,0.00076325,0.00076325,0.00076325
120,548.436,1.13275,0.88431,1.19191,0.73599,0.58807,0.67873,0.34011,1.7093,1.4949,1.64419,0.000759125,0.000759125,0.000759125
121,552.902,1.12362,0.90347,1.16944,0.68084,0.62948,0.65956,0.31134,1.71757,1.4626,1.67438,0.000755,0.000755,0.000755
122,557.432,1.12353,0.83693,1.17911,0.62309,0.6378,0.64862,0.32649,1.64909,1.44793,1.59068,0.000750875,0.000750875,0.000750875
