epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,541.554,1.26143,1.04661,1.29196,0.59571,0.59109,0.57158,0.2858,1.64643,1.52698,1.61841,0.000924125,0.000924125,0.000924125
81,548.14,1.24418,1.00418,1.28965,0.65334,0.57895,0.61154,0.30988,1.68467,1.49925,1.62805,0.00092,0.00092,0.00092
82,554.954,1.20941,0.96684,1.23022,0.66134,0.57543,0.59788,0.30939,1.70565,1.52792,1.67189,0.000915875,0.000915875,0.000915875
83,561.645,1.201,0.96023,1.26904,0.66356,0.59111,0.60427,0.31711,1.61538,1.43814,1.62823,0.00091175,0.00091175,0.00091175
84,568.259,1.20394,0.93611,1.22855,0.5509,0.58189,0.56711,0.27596,1.75577,1.55637,1.7445,0.000907625,0.000907625,0.000907625
85,574.78,1.24967,0.98481,1.28734,0.6675,0.55871,0.59361,0.28301,1.77409,1.49317,1.73077,0.0009035,0.0009035,0.0009035
86,581.263,1.18508,0.93657,1.2527,0.68327,0.5574,0.59772,0.31387,1.68795,1.49227,1.66396,0.000899375,0.000899375,0.000899375
87,587.933,1.20717,0.95918,1.27575,0.6944,0.57864,0.63869,0.31658,1.64233,1.38231,1.62255,0.00089525,0.00089525,0.00089525
88,594.491,1.19349,0.97939,1.23829,0.68225,0.56355,0.61689,0.30425,1.72758,1.48417,1.65852,0.000891125,0.000891125,0.000891125
89,601.176,1.17739,0.95515,1.22727,0.60661,0.57121,0.60514,0.31451,1.63486,1.43703,1.61459,0.000887,0.000887,0.000887
90,607.804,1.16152,0.8863,1.23513,0.66152,0.59077,0.62347,0.31689,1.62129,1.52545,1.59306,0.000882875,0.000882875,0.000882875
91,614.332,1.16223,0.95503,1.21912,0.60903,0.59314,0.59206,0.31114,1.63182,1.50485,1.64849,0.00087875,0.00087875,0.00087875
92,620.841,1.16241,0.92074,1.25623,0.72864,0.56054,0.59721,0.30052,1.65708,1.50079,1.63468,0.000874625,0.000874625,0.000874625
93,627.353,1.13833,0.89422,1.2087,0.66661,0.60199,0.59612,0.2999,1.63832,1.50924,1.639,0.0008705,0.0008705,0.0008705
94,633.974,1.19151,0.94131,1.25568,0.68084,0.57566,0.60959,0.31423,1.68362,1.49475,1.64755,0.000866375,0.000866375,0.000866375
95,640.515,1.14092,0.88893,1.22492,0.69906,0.56656,0.62886,0.31786,1.72364,1.47428,1.66344,0.00086225,0.00086225,0.00086225
96,647.319,1.16738,0.89453,1.19927,0.606,0.58928,0.58997,0.30472,1.6691,1.5345,1.66579,0.000858125,0.000858125,0.000858125
